PayTabs,paytabs,بوابة دفع متكاملة للمتاجر الإلكترونية - دفع محلي وعالمي بأسعار تنافسية,2015,الرياض,200-500,Series B - $50M,https://paytabs.com,https://placehold.co/80x80?text=PayTabs,,Fintech,بوابة دفع متعددة القنوات,تحويل العملات,حماية من الاحتيال,تالفواتير المتكررة,Mada,STC Pay,Salla,Zid,SOC2,ISO27001,Saudi-owned
SaudiPost,saudipost,خدمات بريدية ولوجستية متكاملة - توصيل，تتبع، وحلول مالية,1921,الرياض,1000+,State-owned,https://saudipost.sa,https://placehold.co/80x80?text=SaudiPost,,GovTech,توصيل بريدي,تتبع الشحنات,حلول مالية,خدمات حكومية,Mada,STC Pay,SAR,Saudi Post Authority,Saudi-owned
Mawid,mawid,نظام حجز المواعيد للمؤسسات الصحية - فتحة مواعيد عبر الإنترنت,2019,الرياض,50-100,Series A - $6M,https://mawid.sa,https://placehold.co/80x80?text=Mawid,,HealthTech,إدارة المواعيد,تقويم احترافي,إشعاراتantara,إحصائيات الاستخدام,Mada,STC Pay,SEHA,Saudi FDA,Saudi-owned
Adeeb,adeeb,منصة كتابة المحتوى العربي - توليد وتحرير النصوص بالذكاء الاصطناعي,2021,جدة,30-60,Seed - $5M,https://adeeb.sa,https://placehold.co/80x80?text=Adeeb,,Marketing Tech,توليد المحتوى,تصحيح النصوص,تحسين SEO,ترجمة آلية,Mada,STC Pay,Zid,ISO27001,Saudi-owned
ZidPay,zidpay,بوابة دفع للتجارة الإلكترونية - تحصيل المدفوعات عبر الإنترنت,2021,جدة,20-50,Seed - $3M,https://zidpay.sa,https://placehold.co/80x80?text=ZidPay,,Fintech,تحصيل المدفوعات,بوابة دفع,حماية من الاحتيال,فواتير متكررة,Mada,STC Pay,Zid,,Saudi-owned
TaqatPro,taqatpro,برنامج موارد بشرية متقدم - إدارة الأداء والتطوير الوظيفي,2022,الرياض,50-100,Seed - $8M,https://taqatpro.sa,https://placehold.co/80x80?text=TaqatPro,,HR Tech,إدارة الأداء,التطوير الوظيفي,تحليل المواهب,تقارير الامتثال,Mada,STC Pay,Taqat,Saudi-owned
Khedma,khedma,منصة الخدمات المنزلية - حجز وتوثيق مع stipudiate وقت الحقيقة، ومراجعات,2019,جدة,100-200,Series B - $30M,https://khedma.sa,https://placehold.co/80x80?text=Khedma,,Misc SaaS,حجز الخدمات,إدارة المهام,جدولة الوقت,نظام التقييم,Mada,STC Pay,,PDPL Compliant,Saudi-owned
AdeebAI,adeebai,توليد المحتوى بالذكاء الاصطناعي - كتابة، تحرير، وترجمة نصوص عربية,2023,الرياض,10-30,Seed - $2M,https://adeebai.sa,https://placehold.co/80x80?text=AdeebAI,,Marketing Tech,كتابة ذكية,تحرير النصوص,ترجمة آلية,تحسين SEO,Mada,STC Pay,Zid,,Saudi-owned
SallaERP,sallaerp,ن تخطيط موارد المؤسسات (ERP) للتجارة الإلكترونية - إدارة المخزون، المبيعات، والمالية,2022,جدة,50-100,Series A - $12M,https://sallaerp.sa,https://placehold.co/80x80?text=SallaERP,,E-commerce,إدارة المخزون,المبيعات,المالية,التقارير,Mada,STC Pay,Salla,Zid,ISO27001,Saudi-owned
AltibbiPro,altibbi,منصة استشارات طبية للشركات - صحة الموظفين وال Checkup packages,2021,الرياض,50-100,Series A - $10M,https://altibbi.sa/pro,https://placehold.co/80x80?text=AltibbiPro,,HealthTech,استشارات شركات,فحوصات دورية,صحة الموظفين,إدارة الحالات,Mada,STC Pay,SEHA,Saudi FDA,Saudi-owned
Saudibnb,saudibnb,منصة إدارة وتأجير الوحدات السكنية - للفنادق والشقق المفروشة,2020,الرياض,50-100,Series A - $10M,https://saudibnb.sa,https://placehold.co/80x80?text=Saudibnb,,PropTech,إدارة الوحدات,حجوزات إلكترونية,إدارة العملاء,تقارير الأداء,Mada,STC Pay,,Saudi-owned
TaqatCare,taqatcare,منصة رعاية صحية عن بُعد للمسنين والمرضى المزمنين - مراقبة مستمرة,2022,الرياض,50-100,Seed - $6M,https://taqatcare.sa,https://placehold.co/80x80?text=TaqatCare,,HealthTech,رعاية عن بُعد,مراقبة مستمرة,إدارة الأدوية,تنبيهات الطوارئ,Mada,STC Pay,SEHA,Saudi FDA,PDPL,Saudi-owned
SallaAnalytics,sallaanalytics,تحليل بيانات المتاجر الإلكترونية - تقارير متقدمة ولوحات تحكم,2021,جدة,30-60,Seed - $4M,https://sallaanalytics.sa,https://placehold.co/80x80?text=SallaAnalytics,,E-commerce,تحليل البيانات,تقارير متقدمة,لوحات تحكم,تنبؤ المبيعات,Mada,STC Pay,Salla,Zid,ISO27001,Saudi-owned
RiyadhTech,riyadhtech,حاضنة ومسرّع للشركات الناشئة - برامج إرشاد واستثمار,2018,الرياض,50-100,Series B - $40M,https://riyadhtech.sa,https://placehold.co/80x80?text=RiyadhTech,,Misc SaaS,مسرّع شركات,حاضنة أعمال,استثمار,برامج إرشاد,Mada,STC Pay,Aramco,Saudi-owned
Saudimart,saudimart,منصة B2B للتجارة الإلكترونية - ربط الموردين بالشركات الكبيرة,2020,جدة,100-200,Series A - $20M,https://saudimart.sa,https://placehold.co/80x80?text=Saudimart,,E-commerce,B2B marketplace,إدارة الطلبات,الدفع عند الاستلام,التقارير,Mada,STC Pay,Zid,ISO27001,Saudi-owned
Mudeer,mudeer,نظام إدارة الممتلكات - للشركات العقارية والملاك المتعددين,2021,الرياض,20-50,Seed - $3M,https://mudeer.sa,https://placehold.co/80x80?text=Mudeer,,PropTech,إدارة العقارات,الفواتير,المستأجرين,الصيانة,Mada,STC Pay,,Saudi-owned
SallaMarket,sallamarket,منصة منتجات للمتاجر الإلكترونية - توصيل للمشتريات، جملة، استيراد,2022,جدة,50-100,Seed - $5M,https://sallamarket.sa,https://placehold.co/80x80?text=SallaMarket,,E-commerce,سوق المنتجات,إدارة المشتريات,توصيل,مخزون آمن,Mada,STC Pay,Salla,,Saudi-owned
Ajeet,ajeet,خدمات لوجستية سريعة - توصيل في ساعة، مواعيد مرنة، ودعم متخصص,2018,الرياض,100-200,Series A - $15M,https://ajeet.sa,https://placehold.co/80x80?text=Ajeet,,Logistics,توصيل سريع,حجز مواعيد,تتبع لحظي,خدمةعاجلة,Mada,STC Pay,Zid,PDPL Compliant,Saudi-owned
TabbyBiz,tabbybiz,حلول دفع بالتقسيط للشركات - تقسيط للعملاء مع تحمل المخاطر,2020,الرياض,100-200,Series B - $30M,https://tabbybiz.sa,https://placehold.co/80x80?text=TabbyBiz,,Fintech,الدفع بالتقسيط B2B,تقييم المخاطر,التحصيل الآلي,تقارير المبيعات,Mada,STC Pay,Tabby,,Saudi-owned
